date,candidate_name,faculty,field,eligible_voters,yes_votes,no_votes,abstained
02-15-22,doc. Dr. Ing. Michal Bednařík,Faculty of Electrical Engineering,Applied Physics,32,32,0,0
02-15-22,"doc. Ing. Michal Jandera, Ph.D.",Faculty of Civil Engineering,Theory of Building Structures and Materials,32,29,2,1
03-22-22,"doc. RNDr. Anton Trník, Ph.D.",Faculty of Electrical Engineering,Applied Physics,38,12,19,7
03-22-22,"doc. Ing. Vít Šmilauer, Ph.D., DSc.",Faculty of Civil Engineering,Theory of Building Structures and Materials,39,39,0,0
01-17-23,"doc. Mgr. Aleš Mráček, Ph.D.",Faculty of Mechanical Engineering,Production and Materials Engineering,42,35,3,4
01-17-23,"doc. RNDr. Radomír Pánek, Ph.D.",Faculty of Nuclear and Physical Engineering,Applied Physics,42,39,1,2
02-21-23,"doc. Ing. Jan Pacina, Ph.D.",Faculty of Civil Engineering,Geodesy and Cartography,40,16,21,3
02-21-23,"doc. Ing. Karel Dušek, Ph.D.",Faculty of Electrical Engineering,Materials and Technologies for Electrical Engineering,40,39,1,0
03-19-24,"doc. Ing. Petr Kolenko, Ph.D.",Faculty of Nuclear and Physical Engineering,Applied Physics,34,31,0,3
06-18-24,"doc. Ing. Jaromír Dušek, Ph.D.",Faculty of Civil Engineering,Water Management and Water Structures,34,33,1,0
10-22-24,"doc. RNDr. Pavla Bojarová, Ph.D.",Faculty of Biomedical Engineering,Biomedical Engineering,33,32,0,1
10-22-24,"doc. Ing. Jiří Bittner, Ph.D.",Faculty of Electrical Engineering,Computer Science and Artificial Intelligence,34,34,0,0
11-26-24,"doc. Ing. Jan Vorel, Ph.D.",Faculty of Civil Engineering,Theory of Building Structures and Materials,32,31,0,1
11-26-24,"doc. Ing. Miroslav Bureš, Ph.D.",Faculty of Electrical Engineering,Informatics and Artificial Intelligence,33,32,1,0
01-21-25,"doc. Ing. Pavel Tesárek, Ph.D.",Faculty of Civil Engineering,Theory of Building Structures and Materials,36,34,0,2
01-21-25,"doc. RNDr. Petr Sváček, Ph.D.",Faculty of Nuclear and Physical Engineering,Applied Mathematics,34,32,1,1
03-25-25,"doc. Ing. MSc. Petr Jizba, Ph.D.",Faculty of Nuclear and Physical Engineering,Physics,38,37,0,1
03-25-25,"doc. Ing. Tomáš Matuška, Ph.D.",Faculty of Mechanical Engineering,Structural and Process Engineering,38,36,1,1
03-25-25,"doc. Ing. Martin Böhm, Ph.D.",Faculty of Civil Engineering,Theory of Building Structures and Materials,38,30,4,4
04-22-25,"doc. Ing. Martin Saska, Dr. rer. nat., Ph.D.",Faculty of Electrical Engineering,Cybernetics and Robotics,37,37,0,0
04-22-25,"doc. RNDr. Silvia Dulanská, PhD.",Faculty of Nuclear and Physical Engineering,Nuclear Chemistry,37,29,4,4
05-20-25,"doc. Ing. Martin Hromčík, Ph.D.",Faculty of Electrical Engineering,Cybernetics and Robotics,30,30,0,0
05-20-25,"doc. RNDr. Tomáš Masopust, Ph.D.",Faculty of Information Technology,Informatics,30,24,2,4
